"Time (s);""Magnetic Field x (µT)"";""Magnetic Field y (µT)"";""Magnetic Field z (µT)"";""Absolute field (µT)""",,,,,
8,979578200E-1;-1,333799896E2;-5,699999809E0;-8,375999451E1;1,5.76E+10
9,059532990E-1;-1,338000031E2;-5,879999638E0;-8,393999481E1;1,5.81E+10
9,139792940E-1;-1,336799927E2;-5,639999866E0;-8,418000031E1;1,5.81E+10
9,219747720E-1;-1,338600006E2;-5,639999866E0;-8,411999512E1;1,5.82E+10
9,300312850E-1;-1,338600006E2;-5,819999695E0;-8,381999969E1;1,5.80E+10
9,379962460E-1;-1,336199951E2;-5,699999809E0;-8,369999695E1;1,5.78E+10
9,459917240E-1;-1,338600006E2;-6,000000000E0;-8,340000153E1;1,5.78E+10
9,539872030E-1;-1,338000031E2;-6,000000000E0;-8,363999939E1;1,5.79E+10
9,620131980E-1;-1,338000031E2;-6,239999771E0;-8,387999725E1;1,5.80E+10
9,700697100E-1;-1,336799927E2;-6,119999886E0;-8,375999451E1;1,5.79E+10
9,780041550E-1;-1,336799927E2;-6,119999886E0;-8,351999664E1;1,5.77E+10
9,860301500E-1;-1,340399933E2;-6,179999828E0;-8,340000153E1;1,5.80E+10
9,940256280E-1;-1,341600037E2;-6,059999943E0;-8,375999451E1;1,5.83E+10
1,002021106E0;-1,342799988E2;-6,179999828E0;-8,358000183E1;1,5.83E+10
1,010108136E0;-1,344599915E2;-6,000000000E0;-8,387999725E1;1,5.86E+10
1,018042580E0;-1,344599915E2;-6,000000000E0;-8,363999939E1;1,5.85E+10
1,026068575E0;-1,343999939E2;-5,879999638E0;-8,340000153E1;1,5.83E+10
1,034064054E0;-1,342799988E2;-5,519999981E0;-8,411999512E1;1,5.85E+10
1,042059532E0;-1,336799927E2;-5,460000038E0;-8,436000061E1;1,5.82E+10
1,050146561E0;-1,336799927E2;-5,279999733E0;-8,436000061E1;1,5.82E+10
1,058081006E0;-1,338600006E2;-5,819999695E0;-8,369999695E1;1,5.80E+10
1,066076484E0;-1,340999908E2;-6,420000076E0;-8,333999634E1;1,5.80E+10
1,074102479E0;-1,343999939E2;-6,179999828E0;-8,279999542E1;1,5.80E+10
1,082097957E0;-1,344599915E2;-6,119999886E0;-8,309999847E1;1,5.82E+10
1,090154470E0;-1,345200043E2;-5,639999866E0;-8,363999939E1;1,5.85E+10
1,098119432E0;-1,342799988E2;-5,339999676E0;-8,387999725E1;1,5.84E+10
1,106114909E0;-1,345200043E2;-5,579999924E0;-8,411999512E1;1,5.88E+10
1,114140906E0;-1,344599915E2;-5,879999638E0;-8,418000031E1;1,5.87E+10
1,122136384E0;-1,342799988E2;-6,000000000E0;-8,369999695E1;1,5.83E+10
1,130192896E0;-1,340399933E2;-6,000000000E0;-8,340000153E1;1,5.80E+10
1,138157858E0;-1,337399902E2;-6,000000000E0;-8,345999908E1;1,5.78E+10
1,146153336E0;-1,334400024E2;-5,879999638E0;-8,340000153E1;1,5.75E+10
1,154148813E0;-1,334400024E2;-5,759999752E0;-8,387999725E1;1,5.77E+10
1,162174809E0;-1,337399902E2;-6,000000000E0;-8,381999969E1;1,5.79E+10
1,170231322E0;-1,336799927E2;-6,179999828E0;-8,358000183E1;1,5.78E+10
1,178165766E0;-1,340399933E2;-6,179999828E0;-8,381999969E1;1,5.82E+10
1,186191761E0;-1,342799988E2;-6,179999828E0;-8,375999451E1;1,5.84E+10
1,194187240E0;-1,342799988E2;-6,119999886E0;-8,381999969E1;1,5.84E+10
1,202182718E0;-1,345200043E2;-6,000000000E0;-8,429999542E1;1,5.89E+10
1,210269748E0;-1,345200043E2;-6,359999657E0;-8,405999756E1;1,5.88E+10
1,218204192E0;-1,340399933E2;-6,480000019E0;-8,375999451E1;1,5.82E+10
1,226199670E0;-1,344599915E2;-6,480000019E0;-8,381999969E1;1,5.86E+10
1,234225665E0;-1,345200043E2;-6,719999790E0;-8,345999908E1;1,5.84E+10
1,242221144E0;-1,345200043E2;-6,480000019E0;-8,327999878E1;1,5.83E+10
1,250308173E0;-1,346999969E2;-6,179999828E0;-8,375999451E1;1,5.87E+10
1,258242617E0;-1,342799988E2;-6,179999828E0;-8,351999664E1;1,5.83E+10
1,266238096E0;-1,340399933E2;-6,119999886E0;-8,304000092E1;1,5.78E+10
1,274264091E0;-1,341600037E2;-5,879999638E0;-8,304000092E1;1,5.79E+10
1,282259569E0;-1,340999908E2;-5,819999695E0;-8,268000031E1;1,5.76E+10
1,290316082E0;-1,339799957E2;-5,639999866E0;-8,322000122E1;1,5.78E+10
1,298281043E0;-1,341600037E2;-5,339999676E0;-8,315999603E1;1,5.79E+10
